0	-1968.05	-2115.72	0	0	-2142.75	0	-7288.66	514.333	0	0	6281.82	0	0	27492.7
182298	0	0	0	0	0	38725.8	7392.24	0	0	13826.9	0	8121.5	0	8024.96
0	0	0	0	0	0	0	80152.7	0	0	0	130041	0	0	0
0	0	-2369.14	0	-6875.48	0	6889.79	0	221526	-373968	43587.5	0	-56926.9	5564.81	-5598.36
0	22384.3	0	0	0	0	4739.16	10029.4	0	3434.99	-21748.5	-2423.54	-1076.38	0	20573.6
0	32247.2	36069.3	1509.38	0	0	0	5432.54	0	1902.09	3362.22	0	-6761.14	0	10876.6
0	0	3010.44	0	9606.06	3074.98	-12065.5	999.747	2644.53	1774.13	0	0	0	0	6588.33
574.405	5544.27	1855.43	1794.91	0	-3637.08	1708.62	-11257.1	0	0	0	235.626	4388.73	1933.73	20741.5
0	15261.7	0	0	0	0	3855.03	0	11996.1	-23513.7	-24715.7	-4256.56	0	0	0
13306.3	4477.21	-1670.71	-5089.97	208.391	1368.19	0	0	-5242.8	-1103.1	-6966.6	-4962.95	7260.93	0	0
3655.64	0	-1341.91	0	0	0	-529.268	3421.46	0	0	941.905	6259.77	0	0	26502.9
9932.64	-7346.18	0	0	0	-6547.51	0	-49691.2	6688.65	-12654.1	-9243.77	-2233.82	0	2771.56	0
0	0	0	0	0	0	-18069.2	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3775.93	3060.2	18691.8	0	0	0	-1234.45	-7939.64	0	0	-16968.6	0	0	0	0
0	0	31752.6	0	-10675.9	0	0	0	-35022.7	0	-17019.8	0	0	0	0
0	0	46757.7	-58377	0	-16316.2	0	14740.4	22719.7	16447.2	17419.1	0	-10748.4	0	0
0	0	0	0	0	6306.67	-10780.8	0	-24909.1	0	1366.7	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	9377.28	0	0	0	-13610.1	0	0	0	-30375.8	0	0	0	-7634.4
0	5499.23	-3738.58	0	-766.147	1018.84	644.655	-8744.66	1290.04	3349.19	2629.8	11006.1	0	648.046	17602.8
0	32263.9	30992.6	0	2539.69	0	0	7995.39	0	0	14027.8	-3419.18	-8081.48	0	15474.4
0	-2630.16	-2597.11	-3905.16	694.849	4389.68	2803.97	-7575.84	-7464.41	0	0	-3655.5	957.104	0	13944.3
0	88385.1	-797.03	0	0	0	0	0	0	0	9512.37	0	-16812.6	0	0
0	0	48125.9	156.305	0	970.945	838.159	0	0	0	-3550.56	0	-312.092	0	0
2049.67	0	-1688.26	0	0	0	-297.944	-1071.84	0	1316.71	341.977	4596.2	2156.6	1614.17	21958.5
1521.79	0	2802.21	0	-1498.56	4909.79	0	0	224.074	0	0	13511.3	-2120.93	0	15297.9
