"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
"Pancreas" 0.000215609467486205 0.0015312478232962 0.000563075928571543 0.000401242297910957 0.000455823837219531 0.00024788497925479 0.000122210887720583 2.21143289253609e-05 0.000145030277328722 0.00130733121560903 0.994957755736658 3.06732200186985e-05
"Pituitary" 0.00288130861738598 0.0026248655473989 0.00130977134983087 0.000583576071888452 0.000424970591399159 0.000310029752811395 0.00018248121267682 2.30362683149861e-07 8.9444299339391e-05 0.00167655078702938 7.17650571509461e-05 0.989845006350406
"Prostate" 0.0013207727061499 0.364529334091992 0.0779546049236226 0.37987903933982 0.0738755111104588 0.0299502999174242 0.0697375669075367 0.00176721165807397 0.000132546789489781 1.50832712019212e-07 0.000720769704917899 0.000132192017801699
"Skin...Not.Sun.Exposed..Suprapubic." 0.000197018202926739 0.0150017036320848 0.163122689259162 0.0729194582276137 0.00121926371591565 0.72779811796288 0.0161857437364874 0.000169691305528643 1.44671329996977e-07 0.00321110863601831 0.000154706318904383 2.03543311480746e-05
"Skin...Sun.Exposed..Lower.leg." 0.000419890031112629 0.0304925552224699 0.195571186992148 0.0404215896138029 0.000731625261925158 0.708719618509012 0.0171426649174531 0.000303966568422995 2.00900370695858e-08 0.00618279114418676 1.34781373661262e-07 1.39568680560985e-05
"Small.Intestine...Terminal.Ileum" 0.000207488511825252 0.168973264737895 0.181324727674819 0.0689454873848743 0.552440681059097 0.000784971238305572 0.0242246324620598 0.000117651329587413 0.000170248947134953 0.00111583469725101 0.00167491625842021 2.00956987303596e-05
"Spleen" 7.31709339487563e-07 0.0202867270684245 0.27803278315008 0.00981387719609739 0.639754288124316 0.000168267024252565 0.0248977121949867 1.23345285014772e-07 0.0267253986766466 0.000155665974903924 0.000104906843280067 5.95186923878029e-05
"Stomach" 0.000973854073066872 0.358573583170603 0.0983842545103608 0.127389351925277 0.153542076573092 0.00176947877734771 0.0182345625659186 0.000264844444847976 4.8192573704147e-05 0.000922488327151404 0.239786391497091 0.000110921561539742
"Testis" 1.23721718170454e-07 0.0275607969512507 0.0510326602570108 0.106443089687765 0.0209913180753981 0.000783745862433849 0.790352874271788 0.000619140084685411 2.9630717442513e-05 0.00199864588882719 8.33480164701585e-05 0.000104626465209522
"Thyroid" 0.00204203447934949 0.0246213406923668 0.405548872328655 0.179516677947528 0.33796645067998 0.000284211750342796 0.0461219942332731 0.000422631429110243 0.00115748727770734 0.00167576827417772 1.46161811583983e-07 0.000642384745697259
"Uterus" 2.36366567893912e-07 0.547547890478438 0.0987680922142809 0.309916338824299 0.00445108089119106 0.000288335360264591 0.0320958804106573 7.30803601021489e-08 7.88784835369285e-06 0.00689078670265417 2.01703051704843e-07 3.31961198810121e-05
"Vagina" 0.000160180927706872 0.201591988074518 0.172211477717634 0.0978862975366503 0.00173700597486654 0.503012156621064 0.00974318572208468 4.2550383278001e-05 0.000251047720878342 0.0133442493976545 9.46681437218416e-06 1.03931092927659e-05
"Whole.Blood" 0.000194538367368215 6.30382520030892e-06 9.36216634985208e-07 1.50702174896915e-07 0.0573353030531306 1.57383542933055e-07 3.72281543890147e-06 0.00058551842408396 0.941873006917084 1.68041765163213e-07 4.19892323161152e-08 1.52264343330386e-07
