"Adipose - Subcutaneous" "Adipose - Visceral (Omentum)" "Adrenal Gland" "Artery - Aorta" "Artery - Coronary" "Artery - Tibial" "Bladder" "Brain - Amygdala" "Brain - Anterior cingulate cortex (BA24)" "Brain - Caudate (basal ganglia)" "Brain - Cerebellar Hemisphere" "Brain - Cerebellum" "Brain - Cortex" "Brain - Frontal Cortex (BA9)" "Brain - Hippocampus" "Brain - Hypothalamus" "Brain - Nucleus accumbens (basal ganglia)" "Brain - Putamen (basal ganglia)" "Brain - Spinal cord (cervical c-1)" "Brain - Substantia nigra" "Breast - Mammary Tissue" "Cells - EBV-transformed lymphocytes" "Cells - Transformed fibroblasts" "Cervix - Ectocervix" "Cervix - Endocervix" "Colon - Sigmoid" "Colon - Transverse" "Esophagus - Gastroesophageal Junction" "Esophagus - Mucosa" "Esophagus - Muscularis" "Fallopian Tube" "Heart - Atrial Appendage" "Heart - Left Ventricle" "Kidney - Cortex" "Liver" "Lung" "Minor Salivary Gland" "Muscle - Skeletal" "Nerve - Tibial" "Ovary" "Pancreas" "Pituitary" "Prostate" "Skin - Not Sun Exposed (Suprapubic)" "Skin - Sun Exposed (Lower leg)" "Small Intestine - Terminal Ileum" "Spleen" "Stomach" "Testis" "Thyroid" "Uterus" "Vagina" "Whole Blood"
"Cells - Transformed fibroblasts" 0.0032 0.0038 0.021 0.2076 0.0048 0.004 0.0122 0.0022 0.0014 0.0014 0.0018 0 0.001 0.0018 0.0018 0.0022 0.003 0.0016 0.0016 0.002 0.006 0.0072 0 0 0 0.0062 0.0098 0.053 0.009 0.029 0 0.0022 0.0026 0.01 0.007 0.0032 0.0018 0.0026 0.0034 0.0034 0.007 0.0022 6e-04 0.0042 0.0034 0.0042 0.019 0.0088 0.1026 0.0036 0.0102 0.0058 0.0026
"Cervix - Ectocervix" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cervix - Endocervix" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Colon - Sigmoid" 0.1302 0.2532 0.0498 0.1368 0.0508 0.14 0 0.3374 0.0066 0.0202 0.0152 0.0196 0.0106 0.0126 0.0122 0.0036 0.0018 0.004 0.0688 0.0668 0.2484 0.0028 0.0062 0 0 0 0.3214 0.3634 0.1646 0.6516 0 0.2628 0.3164 0.0496 0.038 0.1084 0.5224 0.1164 0.2622 0.2898 0.0276 0.0258 0.2772 0.0906 0.0342 0.0444 0.1618 0.0958 0.0884 0.3528 0.107 0.0332 0.0522
"Colon - Transverse" 0.009 0.0488 0.2072 0.2078 0.1456 0.007 0 0 0 0.027 0 0.0076 0.008 0.0712 0 0.0364 0.0068 0.0108 0 0 0.0132 0.0024 0.0098 0 0 0.3214 0 0.0494 0.469 0.2946 0 0.0224 0.013 0.034 0.2364 0.0914 0.0778 0.0096 0.025 0.2156 0.0656 0.008 0.1528 0.0126 0.0268 0.072 0.0334 0.09 0.1448 0.0924 0.2066 0.1312 0.0028
"Esophagus - Gastroesophageal Junction" 0.1344 0.1946 0.1942 0.5466 0.1566 0.1672 0 0.0138 0.0024 0.0146 0.0142 0 6e-04 0.0144 0.0144 0.0154 0.0074 0.0176 0 0 0.197 0.0042 0.053 0 0 0.3634 0.0494 0 0.2718 0.9486 0 0.0788 0.2808 0.425 0.063 0.3508 0.0064 0.271 0.1376 0.2958 0.084 0.0144 0.1208 0.0496 0.0438 0.0078 0.0104 0.1756 0.0644 0.2744 0.2588 0.0726 0.0936
"Esophagus - Mucosa" 0.0238 0.116 0.2538 0.4388 0.291 0.0116 0.043 0.0028 0.014 0.008 0.0118 0.006 0.0096 0.012 0.0042 0.0236 0.0046 0.0102 0.0028 0.0042 0.0338 0.0024 0.009 0 0 0.1646 0.469 0.2718 0 0.505 0 0.0852 0.108 0.0314 0.2428 0.1188 0.4462 0.02 0.0282 0.498 0.2232 0.0096 0.4166 0.0256 0.015 0.0288 0.1746 0.0408 0.44 0.0762 0.3004 0.2152 0.0318
"Esophagus - Muscularis" 0.0774 0.1606 0.3862 0.7298 0.2076 0.069 0.135 0.008 0.007 0.0084 0.0054 0.0134 0.007 0.0202 0.0052 2e-04 0.003 0.0256 0.0032 0.0252 0.1586 0.0038 0.029 0 0 0.6516 0.2946 0.9486 0.505 0 0 0.4606 0.2398 0.0152 0.1462 0.114 0.0188 0.0678 0.0466 0.3684 0.2662 0.0742 0.2886 0.1414 0.032 0.0148 0.0914 0.1554 0.3684 0.1154 0.3332 0.1532 0.0424
"Fallopian Tube" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Heart - Atrial Appendage" 0.2008 0.3898 0.1642 0.1814 0.2814 0.0988 0 0.0124 0.007 0.0286 0.0078 0.015 0.0094 0.01 0.0646 0.0524 0.0118 0.0454 0.0894 0.0708 0.2574 0.0022 0.0022 0 0 0.2628 0.0224 0.0788 0.0852 0.4606 0 0 0.8794 0.0116 0.0394 0.3324 0.0136 0.2886 0.2266 0.1636 0.0144 0.0288 0.0954 0.0788 0.089 0.0096 0.0204 0.0274 0.0208 0.308 0.0866 0.0218 0.0704
